Prefecture,Area,市区町村,,,Len,区,duplicated,Reference
北海道,札幌市,札幌市,,,3,中央区,,
,,,,,,北区,12,
,,,,,,東区,,
,,,,,,白石区,,
,,,,,,豊平区,,
,,,,,,南区,,
,,,,,,西区,,
,,,,,,厚別区,,
,,,,,,手稲区,,
,,,,,,清田区,,
,函館市,函館市,,1,3,,,
,旭川市,旭川市,,1,3,,,
,その他北海道,小樽市,,1,3,,,
,,室蘭市,,1,3,,,
,,釧路市,,1,3,,,
,,帯広市,,1,3,,,
,,北見市,,1,3,,,
,,夕張市,,1,3,,,
,,岩見沢市,,1,4,,,
,,網走市,,1,3,,,
,,留萌市,,1,3,,,
,,苫小牧市,,1,4,,,
,,稚内市,,1,3,,,
,,美唄市,,1,3,,,
,,芦別市,,1,3,,,
,,江別市,,1,3,,,
,,赤平市,,1,3,,,
,,紋別市,,1,3,,,
,,士別市,,1,3,,,
,,名寄市,,1,3,,,
,,三笠市,,1,3,,,
,,根室市,,1,3,,,
,,千歳市,,1,3,,,
,,滝川市,,1,3,,,
,,砂川市,,1,3,,,
,,歌志内市,,1,4,,,
,,深川市,,1,3,,,
,,富良野市,,1,4,,,
,,登別市,,1,3,,,
,,恵庭市,,1,3,,,
,,伊達市,,2,3,,,
,,北広島市,,1,4,,,
,,石狩市,,1,3,,,
,,北斗市,,1,3,,,
,,当別町,,1,3,,,
,,新篠津村,,1,4,,,
,,松前町,,2,3,,,
,,福島町,,1,3,,,
,,知内町,,1,3,,,
,,木古内町,,1,4,,,
,,七飯町,,1,3,,,
,,鹿部町,,1,3,,,
,,森町,,2,2,,,
,,八雲町,,1,3,,,
,,長万部町,,1,4,,,
,,江差町,,1,3,,,
,,上ノ国町,,1,4,,,
,,厚沢部町,,1,4,,,
,,乙部町,,1,3,,,
,,奥尻町,,1,3,,,
,,今金町,,1,3,,,
,,せたな町,,1,4,,,
,,島牧村,,1,3,,,
,,寿都町,,1,3,,,
,,黒松内町,,1,4,,,
,,蘭越町,,1,3,,,
,,ニセコ町,,1,4,,,
,,真狩村,,1,3,,,
,,留寿都村,,1,4,,,
,,喜茂別町,,1,4,,,
,,京極町,,1,3,,,
,,倶知安町,,1,4,,,
,,共和町,,1,3,,,
,,岩内町,,1,3,,,
,,泊村,,1,2,,,
,,神恵内村,,1,4,,,
,,積丹町,,1,3,,,
,,古平町,,1,3,,,
,,仁木町,,1,3,,,
,,余市町,,1,3,,,
,,赤井川村,,1,4,,,
,,南幌町,,1,3,,,
,,奈井江町,,1,4,,,
,,上砂川町,,1,4,,,
,,由仁町,,1,3,,,
,,長沼町,,1,3,,,
,,栗山町,,1,3,,,
,,月形町,,1,3,,,
,,浦臼町,,1,3,,,
,,新十津川町,,1,5,,,
,,妹背牛町,,1,4,,,
,,秩父別町,,1,4,,,
,,雨竜町,,1,3,,,
,,北竜町,,1,3,,,
,,沼田町,,1,3,,,
,,鷹栖町,,1,3,,,
,,東神楽町,,1,4,,,
,,当麻町,,1,3,,,
,,比布町,,1,3,,,
,,愛別町,,1,3,,,
,,上川町,,1,3,,,
,,東川町,,1,3,,,
,,美瑛町,,1,3,,,
,,上富良野町,,1,5,,,
,,中富良野町,,1,5,,,
,,南富良野町,,1,5,,,
,,占冠村,,1,3,,,
,,和寒町,,1,3,,,
,,剣淵町,,1,3,,,
,,下川町,,1,3,,,
,,美深町,,1,3,,,
,,音威子府村,,1,5,,,
,,中川町,,1,3,,,
,,幌加内町,,1,4,,,
,,増毛町,,1,3,,,
,,小平町,,1,3,,,
,,苫前町,,1,3,,,
,,羽幌町,,1,3,,,
,,初山別村,,1,4,,,
,,遠別町,,1,3,,,
,,天塩町,,1,3,,,
,,猿払村,,1,3,,,
,,浜頓別町,,1,4,,,
,,中頓別町,,1,4,,,
,,枝幸町,,1,3,,,
,,豊富町,,1,3,,,
,,礼文町,,1,3,,,
,,利尻町,,1,3,,,
,,利尻富士町,,1,5,,,
,,幌延町,,1,3,,,
,,美幌町,,1,3,,,
,,津別町,,1,3,,,
,,斜里町,,1,3,,,
,,清里町,,1,3,,,
,,小清水町,,1,4,,,
,,訓子府町,,1,4,,,
,,置戸町,,1,3,,,
,,佐呂間町,,1,4,,,
,,遠軽町,,1,3,,,
,,湧別町,,1,3,,,
,,滝上町,,1,3,,,
,,興部町,,1,3,,,
,,西興部村,,1,4,,,
,,雄武町,,1,3,,,
,,大空町,,1,3,,,
,,豊浦町,,1,3,,,
,,壮瞥町,,1,3,,,
,,白老町,,1,3,,,
,,厚真町,,1,3,,,
,,洞爺湖町,,1,4,,,
,,安平町,,1,3,,,
,,むかわ町,,1,4,,,
,,日高町,,2,3,,,
,,平取町,,1,3,,,
,,新冠町,,1,3,,,
,,浦河町,,1,3,,,
,,様似町,,1,3,,,
,,えりも町,,1,4,,,
,,新ひだか町,,1,5,,,
,,音更町,,1,3,,,
,,士幌町,,1,3,,,
,,上士幌町,,1,4,,,
,,鹿追町,,1,3,,,
,,新得町,,1,3,,,
,,清水町,,2,3,,,
,,芽室町,,1,3,,,
,,中札内村,,1,4,,,
,,更別村,,1,3,,,
,,大樹町,,1,3,,,
,,広尾町,,1,3,,,
,,幕別町,,1,3,,,
,,池田町,,4,3,,,
,,豊頃町,,1,3,,,
,,本別町,,1,3,,,
,,足寄町,,1,3,,,
,,陸別町,,1,3,,,
,,浦幌町,,1,3,,,
,,釧路町,,1,3,,,
,,厚岸町,,1,3,,,
,,浜中町,,1,3,,,
,,標茶町,,1,3,,,
,,弟子屈町,,1,4,,,
,,鶴居村,,1,3,,,
,,白糠町,,1,3,,,
,,別海町,,1,3,,,
,,中標津町,,1,4,,,
,,標津町,,1,3,,,
,,羅臼町,,1,3,,,
青森県,青森市,青森市,,1,3,,,
,八戸市,八戸市,,1,3,,,
,その他青森県,弘前市,,1,3,,,
,,黒石市,,1,3,,,
,,五所川原市,,1,5,,,
,,十和田市,,1,4,,,
,,三沢市,,1,3,,,
,,むつ市,,1,3,,,
,,つがる市,,1,4,,,
,,平川市,,1,3,,,
,,平内町,,1,3,,,
,,今別町,,1,3,,,
,,蓬田村,,1,3,,,
,,外ヶ浜町,,1,4,,,
,,鰺ヶ沢町,,1,4,,,
,,深浦町,,1,3,,,
,,西目屋村,,1,4,,,
,,藤崎町,,1,3,,,
,,大鰐町,,1,3,,,
,,田舎館村,,1,4,,,
,,板柳町,,1,3,,,
,,鶴田町,,1,3,,,
,,中泊町,,1,3,,,
,,野辺地町,,1,4,,,
,,七戸町,,1,3,,,
,,六戸町,,1,3,,,
,,横浜町,,1,3,,,
,,東北町,,1,3,,,
,,六ヶ所村,,1,4,,,
,,おいらせ町,,1,5,,,
,,大間町,,1,3,,,
,,東通村,,1,3,,,
,,風間浦村,,1,4,,,
,,佐井村,,1,3,,,
,,三戸町,,1,3,,,
,,五戸町,,1,3,,,
,,田子町,,1,3,,,
,,南部町,,3,3,,,
,,階上町,,1,3,,,
,,新郷村,,1,3,,,
岩手県,盛岡市,盛岡市,,1,3,,,
,その他岩手県,宮古市,,1,3,,,
,,大船渡市,,1,4,,,
,,花巻市,,1,3,,,
,,北上市,,1,3,,,
,,久慈市,,1,3,,,
,,遠野市,,1,3,,,
,,一関市,,1,3,,,
,,陸前高田市,,1,5,,,
,,釜石市,,1,3,,,
,,二戸市,,1,3,,,
,,八幡平市,,1,4,,,
,,奥州市,,1,3,,,
,,滝沢市,,1,3,,,
,,雫石町,,1,3,,,
,,葛巻町,,1,3,,,
,,岩手町,,1,3,,,
,,紫波町,,1,3,,,
,,矢巾町,,1,3,,,
,,西和賀町,,1,4,,,
,,金ケ崎町,,1,4,,,
,,平泉町,,1,3,,,
,,住田町,,1,3,,,
,,大槌町,,1,3,,,
,,山田町,,1,3,,,
,,岩泉町,,1,3,,,
,,田野畑村,,1,4,,,
,,普代村,,1,3,,,
,,軽米町,,1,3,,,
,,野田村,,1,3,,,
,,九戸村,,1,3,,,
,,洋野町,,1,3,,,
,,一戸町,,1,3,,,
宮城県,仙台市,仙台市,,1,3,青葉区,,
,,,,,0,宮城野区,,
,,,,,0,若林区,,
,,,,,0,太白区,,
,,,,,0,泉区,,
,その他宮城県,石巻市,,1,3,,,
,,塩竈市,,1,3,,,
,,気仙沼市,,1,4,,,
,,白石市,,1,3,,,
,,名取市,,1,3,,,
,,角田市,,1,3,,,
,,多賀城市,,1,4,,,
,,岩沼市,,1,3,,,
,,登米市,,1,3,,,
,,栗原市,,1,3,,,
,,東松島市,,1,4,,,
,,大崎市,,1,3,,,
,,蔵王町,,1,3,,,
,,七ヶ宿町,,1,4,,,
,,大河原町,,1,4,,,
,,村田町,1,1,3,,,
,,柴田町,,1,3,,,
,,川崎町,,2,3,,,
,,丸森町,,1,3,,,
,,亘理町,,1,3,,,
,,山元町,,1,3,,,
,,松島町,,1,3,,,
,,七ヶ浜町,,1,4,,,
,,利府町,,1,3,,,
,,大和町,,1,3,,,
,,大郷町,,1,3,,,
,,富谷町,,1,3,,,
,,大衡村,,1,3,,,
,,色麻町,,1,3,,,
,,加美町,,1,3,,,
,,涌谷町,,1,3,,,
,,美里町,,3,3,,,
,,女川町,,1,3,,,
,,南三陸町,,1,4,,,
秋田県,秋田市,秋田市,,1,3,,,
,その他秋田県,能代市,,1,3,,,
,,横手市,,1,3,,,
,,大館市,,1,3,,,
,,男鹿市,,1,3,,,
,,湯沢市,,1,3,,,
,,鹿角市,,1,3,,,
,,由利本荘市,,1,5,,,
,,潟上市,,1,3,,,
,,大仙市,,1,3,,,
,,北秋田市,,1,4,,,
,,にかほ市,,1,4,,,
,,仙北市,,1,3,,,
,,小坂町,,1,3,,,
,,上小阿仁村,,1,5,,,
,,藤里町,,1,3,,,
,,三種町,,1,3,,,
,,八峰町,,1,3,,,
,,五城目町,,1,4,,,
,,八郎潟町,,1,4,,,
,,井川町,,1,3,,,
,,大潟村,,1,3,,,
,,美郷町,,3,3,,,
,,羽後町,,1,3,,,
,,東成瀬村,,1,4,,,
山形県,山形市,山形市,,1,3,,,
,その他山形県,米沢市,,1,3,,,
,,鶴岡市,,1,3,,,
,,酒田市,,1,3,,,
,,新庄市,,1,3,,,
,,寒河江市,,1,4,,,
,,上山市,,1,3,,,
,,村山市,1,1,3,,,
,,長井市,,1,3,,,
,,天童市,,1,3,,,
,,東根市,,1,3,,,
,,尾花沢市,,1,4,,,
,,南陽市,,1,3,,,
,,山辺町,,1,3,,,
,,中山町,,1,3,,,
,,河北町,,1,3,,,
,,西川町,,1,3,,,
,,朝日町,,3,3,,,
,,大江町,,1,3,,,
,,大石田町,,1,4,,,
,,金山町,,2,3,,,
,,最上町,,1,3,,,
,,舟形町,,1,3,,,
,,真室川町,,1,4,,,
,,大蔵村,,1,3,,,
,,鮭川村,,1,3,,,
,,戸沢村,,1,3,,,
,,高畠町,,1,3,,,
,,川西町,,2,3,,,
,,小国町,,2,3,,,
,,白鷹町,,1,3,,,
,,飯豊町,,1,3,,,
,,三川町,,1,3,,,
,,庄内町,,1,3,,,
,,遊佐町,,1,3,,,
福島県,福島市,福島市,,1,3,,,
,その他福島県,会津若松市,,1,5,,,
,,郡山市,,1,3,,,
,,いわき市,,1,4,,,
,,白河市,,1,3,,,
,,須賀川市,,1,4,,,
,,喜多方市,,1,4,,,
,,相馬市,,1,3,,,
,,二本松市,,1,4,,,
,,田村市,1,1,3,,,
,,南相馬市,,1,4,,,
,,伊達市,,2,3,,,
,,本宮市,,1,3,,,
,,桑折町,,1,3,,,
,,国見町,,1,3,,,
,,川俣町,,1,3,,,
,,大玉村,,1,3,,,
,,鏡石町,,1,3,,,
,,天栄村,,1,3,,,
,,下郷町,,1,3,,,
,,檜枝岐村,,1,4,,,
,,只見町,,1,3,,,
,,南会津町,,1,4,,,
,,北塩原村,,1,4,,,
,,西会津町,,1,4,,,
,,磐梯町,,1,3,,,
,,猪苗代町,,1,4,,,
,,会津坂下町,,1,5,,,
,,湯川村,,1,3,,,
,,柳津町,,1,3,,,
,,三島町,,1,3,,,
,,金山町,,2,3,,,
,,昭和村,,2,3,,,
,,会津美里町,,1,5,,,
,,西郷村,,1,3,,,
,,泉崎村,,1,3,,,
,,中島村,,1,3,,,
,,矢吹町,,1,3,,,
,,棚倉町,,1,3,,,
,,矢祭町,,1,3,,,
,,塙町,,1,2,,,
,,鮫川村,,1,3,,,
,,石川町,,1,3,,,
,,玉川村,,1,3,,,
,,平田村,,1,3,,,
,,浅川町,,1,3,,,
,,古殿町,,1,3,,,
,,三春町,,1,3,,,
,,小野町,,1,3,,,
,,広野町,,1,3,,,
,,楢葉町,,1,3,,,
,,富岡町,,1,3,,,
,,川内村,,1,3,,,
,,大熊町,,1,3,,,
,,双葉町,,1,3,,,
,,浪江町,,1,3,,,
,,葛尾村,,1,3,,,
,,新地町,,1,3,,,
,,飯舘村,,1,3,,,
茨城県,水戸市,水戸市,,1,3,,,
,つくば市,つくば市,,1,4,,,
,その他茨城県,日立市,,1,3,,,
,,土浦市,,1,3,,,
,,古河市,,1,3,,,
,,石岡市,,1,3,,,
,,結城市,,1,3,,,
,,龍ケ崎市,,1,4,,,
,,下妻市,,1,3,,,
,,常総市,,1,3,,,
,,常陸太田市,,1,5,,,
,,高萩市,,1,3,,,
,,北茨城市,,1,4,,,
,,笠間市,,1,3,,,
,,取手市,,1,3,,,
,,牛久市,,1,3,,,
,,ひたちなか市,,1,6,,,
,,鹿嶋市,,1,3,,,
,,潮来市,,1,3,,,
,,守谷市,,1,3,,,
,,常陸大宮市,,1,5,,,
,,那珂市,,1,3,,,
,,筑西市,,1,3,,,
,,坂東市,,1,3,,,
,,稲敷市,,1,3,,,
,,かすみがうら市,,1,7,,,
,,桜川市,,1,3,,,
,,神栖市,,1,3,,,
,,行方市,,1,3,,,
,,鉾田市,,1,3,,,
,,つくばみらい市,,1,7,,,
,,小美玉市,,1,4,,,
,,茨城町,,1,3,,,
,,大洗町,,1,3,,,
,,城里町,,1,3,,,
,,東海村,,1,3,,,
,,大子町,,1,3,,,
,,美浦村,,1,3,,,
,,阿見町,,1,3,,,
,,河内町,,1,3,,,
,,八千代町,,1,4,,,
,,五霞町,,1,3,,,
,,境町,,1,2,,,
,,利根町,,1,3,,,
栃木県,宇都宮市,宇都宮市,,1,4,,,
,その他栃木県,足利市,,1,3,,,
,,栃木市,,1,3,,,
,,佐野市,,1,3,,,
,,鹿沼市,,1,3,,,
,,日光市,,1,3,,,
,,小山市,,1,3,,,
,,真岡市,,1,3,,,
,,大田原市,,1,4,,,
,,矢板市,,1,3,,,
,,那須塩原市,,1,5,,,
,,さくら市,,1,4,,,
,,那須烏山市,,1,5,,,
,,下野市,,1,3,,,
,,上三川町,,1,4,,,
,,益子町,,1,3,,,
,,茂木町,,1,3,,,
,,市貝町,1,1,3,,,
,,芳賀町,,1,3,,,
,,壬生町,,1,3,,,
,,野木町,,1,3,,,
,,塩谷町,,1,3,,,
,,高根沢町,,1,4,,,
,,那須町,,1,3,,,
,,那珂川町,,2,4,,,
群馬県,前橋市,前橋市,,1,3,,,
,高崎市,高崎市,,1,3,,,
,その他群馬県,桐生市,,1,3,,,
,,伊勢崎市,,1,4,,,
,,太田市,,1,3,,,
,,沼田市,,1,3,,,
,,館林市,,1,3,,,
,,渋川市,,1,3,,,
,,藤岡市,,1,3,,,
,,富岡市,,1,3,,,
,,安中市,,1,3,,,
,,みどり市,,1,4,,,
,,榛東村,,1,3,,,
,,吉岡町,,1,3,,,
,,上野村,,1,3,,,
,,神流町,,1,3,,,
,,下仁田町,,1,4,,,
,,南牧村,,2,3,,,
,,甘楽町,,1,3,,,
,,中之条町,,1,4,,,
,,長野原町,,1,4,,,
,,嬬恋村,,1,3,,,
,,草津町,,1,3,,,
,,高山村,,2,3,,,
,,東吾妻町,,1,4,,,
,,片品村,,1,3,,,
,,川場村,,1,3,,,
,,昭和村,,2,3,,,
,,みなかみ町,,1,5,,,
,,玉村町,1,1,3,,,
,,板倉町,,1,3,,,
,,明和町,,2,3,,,
,,千代田町,,1,4,,,
,,大泉町,,1,3,,,
,,邑楽町,,1,3,,,
埼玉県,さいたま市,さいたま市,,1,5,西区,,http://www.pref.saitama.lg.jp/site/jyuuminnokatahe/kanko-event.html
,,,,,0,北区,,
,,,,,0,大宮区,,
,,,,,0,見沼区,,
,,,,,0,中央区,,
,,,,,0,桜区,,
,,,,,0,浦和区,,
,,,,,0,南区,,
,,,,,0,緑区,,
,,,,,0,岩槻区,,
,川口市,川口市,,1,3,,,
,越谷市,越谷市,,1,3,,,
,川越市,川越市,,1,3,,,
,その他埼玉県,蕨市,,1,2,,,
,,戸田市,,1,3,,,
,,朝霞市,,1,3,,,
,,志木市,,1,3,,,
,,和光市,,1,3,,,
,,新座市,,1,3,,,
,,富士見市,,1,4,,,
,,ふじみ野市,,1,5,,,
,,三芳町,,1,3,,,
,,春日部市,,1,4,,,
,,草加市,,1,3,,,
,,八潮市,,1,3,,,
,,三郷市,,1,3,,,
,,吉川市,,1,3,,,
,,松伏町,,1,3,,,
,,鴻巣市,,1,3,,,
,,上尾市,,1,3,,,
,,桶川市,,1,3,,,
,,北本市,,1,3,,,
,,伊奈町,,1,3,,,
,,東松山市,,1,4,,,
,,坂戸市,,1,3,,,
,,鶴ヶ島市,,1,4,,,
,,毛呂山町,,1,4,,,
,,越生町,,1,3,,,
,,滑川町,,1,3,,,
,,嵐山町,,1,3,,,
,,小川町,,1,3,,,
,,川島町,,1,3,,,
,,吉見町,,1,3,,,
,,鳩山町,,1,3,,,
,,ときがわ町,,1,5,,,
,,東秩父村,,1,4,,,
,,所沢市,,1,3,,,
,,飯能市,,1,3,,,
,,狭山市,,1,3,,,
,,入間市,,1,3,,,
,,日高市,,1,3,,,
,,熊谷市,,1,3,,,
,,本庄市,,1,3,,,
,,深谷市,,1,3,,,
,,美里町,,3,3,,,
,,神川町,,1,3,,,
,,上里町,,1,3,,,
,,寄居町,,1,3,,,
,,行田市,,1,3,,,
,,加須市,,1,3,,,
,,羽生市,,1,3,,,
,,久喜市,,1,3,,,
,,蓮田市,,1,3,,,
,,幸手市,,1,3,,,
,,白岡市,,1,3,,,
,,宮代町,,1,3,,,
,,杉戸町,,1,3,,,
,,秩父市,,1,3,,,
,,横瀬町,,1,3,,,
,,皆野町,,1,3,,,
,,長瀞町,,1,3,,,
,,小鹿野町,,1,4,,,
千葉県,千葉市,千葉市,,1,3,中央区,,
,,,,0,0,花見川区,,
,,,,0,0,稲毛区,,
,,,,0,0,若葉区,,
,,,,0,0,緑区,,
,,,,0,0,美浜区,,
,船橋市,船橋市,,1,3,,,
,松戸市,松戸市,,1,3,,,
,柏市,柏市,,1,2,,,
,市川市,市川市,1,1,3,,,
,その他千葉県,銚子市,,1,3,,,
,,館山市,,1,3,,,
,,木更津市,,1,4,,,
,,野田市,,1,3,,,
,,茂原市,,1,3,,,
,,成田市,,1,3,,,
,,佐倉市,,1,3,,,
,,東金市,,1,3,,,
,,旭市,,1,2,,,
,,習志野市,,1,4,,,
,,勝浦市,,1,3,,,
,,市原市,1,1,3,,,
,,流山市,,1,3,,,
,,八千代市,,1,4,,,
,,我孫子市,,1,4,,,
,,鴨川市,,1,3,,,
,,鎌ケ谷市,,1,4,,,
,,君津市,,1,3,,,
,,富津市,,1,3,,,
,,浦安市,,1,3,,,
,,四街道市,,1,4,,,
,,袖ケ浦市,,1,4,,,
,,八街市,,1,3,,,
,,印西市,,1,3,,,
,,白井市,,1,3,,,
,,富里市,,1,3,,,
,,南房総市,,1,4,,,
,,匝瑳市,,1,3,,,
,,香取市,,1,3,,,
,,山武市,,1,3,,,
,,いすみ市,,1,4,,,
